"","ID","bio1_1981-2010_V.2.1","bio10_1981-2010_V.2.1","bio11_1981-2010_V.2.1","bio12_1981-2010_V.2.1","bio13_1981-2010_V.2.1","bio14_1981-2010_V.2.1","bio15_1981-2010_V.2.1","bio16_1981-2010_V.2.1","bio17_1981-2010_V.2.1","bio18_1981-2010_V.2.1","bio19_1981-2010_V.2.1","bio2_1981-2010_V.2.1","bio3_1981-2010_V.2.1","bio4_1981-2010_V.2.1","bio5_1981-2010_V.2.1","bio6_1981-2010_V.2.1","bio7_1981-2010_V.2.1","bio8_1981-2010_V.2.1","bio9_1981-2010_V.2.1"
"12",12,24.2500000000001,25.95,22.35,1743.6,188.8,102.4,16.7,519.5,341,451.6,415.8,5.2,55.4,141.2,28.65,19.35,9.3,25.05,23.15
"13",13,24.05,25.15,23.55,2416.7,408.5,1.7,77.3,1123.6,12.9,291.4,1123.6,9.1,66.2,73.6,31.35,17.65,13.7,23.55,23.7500000000001
"14",14,26.95,28.2500000000001,26.05,2378.1,365.4,47.1,58.5,1025.1,180.3,180.3,1023.7,5.9,63.9,88.4,32.7500000000001,23.45,9.3,26.15,28.2500000000001
"15",15,26.45,27.2500000000001,25.95,2057.1,305.6,65.4,47,834.3,230.8,358.3,834.3,6.6,77.6,52.4,31.2500000000001,22.7500000000001,8.5,25.95,26.85
"16",16,27.65,29.15,26.65,1715.4,305.1,31.7,68.6,860.7,111.3,116.5,814.2,6.2,64.8,103.1,33.35,23.7500000000001,9.6,26.65,28.85
"17",17,25.35,26.65,24.35,2271.7,356,8.7,69.1,1055.1,49.6,135.7,1055.1,8.3,67.8,88.4,33.35,21.05,12.3,24.35,26.35
"18",18,26.2500000000001,26.85,25.85,2443.1,354.3,49.2,50.1,998.8,199.7,367.6,998.8,6.4,81,38.6,30.7500000000001,22.85,7.9,25.85,26.35
"19",19,26.2500000000001,26.85,25.85,2544.6,371.7,50.7,50.4,1043.3,207.9,380.4,1043.3,6.4,81.4,38.6,30.7500000000001,22.85,7.9,25.85,26.35
"20",20,22.95,24.2500000000001,21.45,1125.5,226.6,1.1,87,587.9,8.9,302.4,8.9,10.1,65.9,108.8,30.35,14.95,15.4,23.35,21.45
"21",21,23.05,24.55,20.85,671.1,145.2,3.3,90.9,378,12.8,272.2,12.8,9.4,67.9,146,29.65,15.7500000000001,13.9,24.05,20.85
"22",22,26.45,27.65,25.45,1808.5,287.3,4,71.5,825.9,19.6,73.5,825.9,8.7,71.4,85.8,33.55,21.35,12.2,25.45,27.2500000000001
"23",23,25.45,25.85,24.65,2023.5,286.5,47.6,47.8,776.2,184.7,470.3,247.8,6.7,72.5,48.2,30.05,20.7500000000001,9.3,25.55,24.7500000000001
"24",24,24.95,25.7500000000001,23.55,2230.2,348.6,45.2,59.4,1010.4,148.9,746.4,206.4,6.7,68.6,91.6,29.65,19.95,9.7,25.65,23.65
"25",25,26.15,26.95,25.85,2355.8,293.5,102.8,35.6,842.8,323.2,427.3,511.7,6.8,76.6,45.4,31.05,22.15,8.9,25.85,26.35
"26",26,22.85,24.35,20.55,733.9,106.9,18.6,47.4,284.5,73.8,284.5,115.5,8.2,67.3,150.6,28.7500000000001,16.55,12.2,24.35,22.15
"27",27,27.95,28.95,26.2500000000001,991.9,213.7,15.3,92.4,615.2,48.7,89.5,547,9.2,73.3,110.6,34.65,22.15,12.5,26.35,28.45
"28",28,24.15,26.35,21.95,1386.8,218.6,51.4,44.4,559.5,178.6,372.8,178.6,4.2,44.8,174,28.65,19.2500000000001,9.4,25.35,21.95
"29",29,25.2500000000001,25.65,24.55,4601.8,528.9,275.7,18.4,1429.6,902.3,1115.5,1294.8,6.8,79.8,45.9,29.95,21.45,8.5,24.55,25.55
"30",30,25.15,26.05,24.2500000000001,3348.9,509.8,122,42,1343.6,435.4,435.4,800.6,7,74.1,68.9,30.95,21.55,9.4,24.95,26.05
"31",31,24.7500000000001,25.85,22.7500000000001,1733.9,316.3,15.9,72,839.2,69.4,576.1,95.9,9.3,64.1,123.1,31.65,17.15,14.5,25.45,22.95
"32",32,25.7500000000001,27.55,24.95,678.7,126.3,0.3,84.8,357.3,3.8,128,357.3,9.1,66.9,110.7,33.15,19.55,13.6,24.95,25.05
"33",33,27.15,28.65,26.35,1548.6,280.1,0.8,82.6,779.9,8,188.6,748.9,9,62.8,99,35.35,20.95,14.4,26.35,27.2500000000001
"34",34,25.35,27.05,24.45,1518.4,265.6,0.6,83.4,751.9,6.5,134.4,740.8,9.1,67.5,103.8,33.15,19.65,13.5,24.55,25.45
"35",35,26.2500000000001,27.35,25.55,1768.1,320.5,29.3,66.1,850.8,126.4,151.8,767.2,6.8,73.4,71.1,31.7500000000001,22.45,9.3,25.55,27.15
"36",36,25.85,26.55,25.15,1868.9,277.8,25.1,59.2,790.9,96.5,272.6,156.6,7.6,68.7,52.6,31.95,20.85,11.1,25.85,25.45
"37",37,23.15,24.05,22.65,1498.9,271.2,47.2,67.6,786.4,161.1,209.3,680.9,8.3,78.5,56.8,29.55,18.95,10.6,22.7500000000001,22.7500000000001
"38",38,24.2500000000001,25.05,23.65,1952.1,323.6,9.9,70.8,911.4,49.1,274.9,90.2,9,67.6,51.5,31.85,18.55,13.3,24.05,24.05
"39",39,26.35,28.05,23.7500000000001,529.4,79.2,11.9,46.4,204.2,47,107.5,146.3,9.5,67.1,173.3,33.65,19.55,14.1,26.7500000000001,26.7500000000001
"40",40,26.2500000000001,26.85,25.85,2517.4,359.1,48.2,50.5,1028.2,195.8,381.7,1028.2,6.5,80.7,38.4,30.85,22.7500000000001,8.1,25.85,26.35
"41",41,21.7500000000001,23.35,19.35,1016.1,229.3,4.4,94.2,603.9,16.1,401.9,16.1,9.3,65.8,156.8,28.15,13.95,14.2,22.85,19.35
"42",42,27.7500000000001,29.15,26.65,700.8,203,1.1,117,491.7,4.5,28.8,455.8,9.7,74.8,101.8,35.2500000000001,22.35,12.9,26.85,29.05
"43",43,26.95,28.65,25.95,964.9,183,0.5,83.2,489.1,3.1,203.8,489.1,9.5,69.1,113.6,34.7500000000001,20.95,13.8,25.95,26.65
"44",44,26.7500000000001,28.35,25.7500000000001,2297.6,355.2,41.4,58.3,1015.9,153.3,153.3,930.5,7.4,66.1,109.3,33.7500000000001,22.55,11.2,25.7500000000001,28.35
"45",45,24.15,25.45,21.95,1202.4,257,5.3,85.8,643.1,20.9,312.5,20.9,10,63.9,147.1,31.05,15.45,15.6,25.05,21.95
"46",46,25.35,26.35,24.05,1661.6,293.6,8.7,71.5,786.3,48.5,397.4,83,9.1,65.9,88.2,32.55,18.7500000000001,13.8,25.55,24.2500000000001
"47",47,23.45,24.7500000000001,22.55,1466.7,274,1.2,84.8,757.5,8.9,365.7,36.6,9.6,65.6,91.9,30.95,16.35,14.6,23.45,22.65
"48",48,20.85,22.05,18.7500000000001,1822.8,358.8,6.3,82.2,925.3,32.4,473.3,44.3,9.5,64.7,133.2,27.65,12.95,14.7,21.45,18.85
"49",49,25.2500000000001,26.35,24.55,2234.5,355.9,4.9,72.9,1049.9,27.5,122.7,1036.7,9.1,68.8,75.8,33.35,20.15,13.2,24.55,25.95
"50",50,25.95,26.85,24.65,1218.5,195.9,17.8,63.9,536.8,70.2,325.6,444,5.8,70.5,87.9,29.95,21.7500000000001,8.2,25.85,26.35
"51",51,27.15,28.45,26.05,1569.9,268.3,4.9,75.4,766,19,48.5,766,8.9,71.4,96.2,34.45,22.05,12.4,26.05,27.95
"52",52,26.2500000000001,26.85,25.95,2587.7,324.4,89.4,38.7,928.4,304,498,907.3,5.7,78,38.5,30.35,23.05,7.3,25.95,26.55
"53",53,26.45,28.45,24.95,948.2,236.8,4.1,96.4,558.8,24,129,40.7,9.1,65.7,134.7,33.65,19.85,13.8,25.95,25.65
"54",54,26.7500000000001,27.95,25.95,1819.4,298.5,1.2,75.4,847,15,227.1,847,8.6,68.9,81,33.95,21.45,12.5,25.95,27.2500000000001
"55",55,27.35,28.45,25.85,1574.3,305.2,28.5,77,862,108,108,763.8,7.4,68.1,104.3,33.2500000000001,22.35,10.9,25.85,28.45
"56",56,22.2500000000001,23.45,20.15,945.6,204.2,2.9,92.4,537,12.8,407.1,12.8,9.3,68.6,132.3,28.65,15.15,13.5,23.05,20.15
"57",57,25.45,26.35,24.85,2040,343.3,9.4,71.8,982.4,48.4,258.7,982.4,8.3,65.7,61.7,33.15,20.55,12.6,24.85,25.85
"58",58,23.2500000000001,24.2500000000001,21.45,1593.4,284.1,8,75.2,782.1,48.4,405.9,68.8,9.5,63.1,114.8,30.15,15.05,15.1,23.7500000000001,21.65
"59",59,25.15,27.15,22.65,695.4,132.1,11.9,73.2,353.2,42.4,256.1,42.4,8.6,60.9,171.4,32.15,17.95,14.2,26.35,22.65
"60",60,21.85,23.85,19.2500000000001,1342.9,296,12.2,84.5,749.2,40,513.6,40,8.1,59.4,178.3,27.95,14.35,13.6,23.2500000000001,19.2500000000001
"61",61,26.65,28.05,25.55,1680,282.4,0.6,76.5,794,10.8,209.2,794,8.7,67.8,102.7,34.45,21.65,12.8,25.55,27.45
"62",62,24.15,25.35,21.95,1207.9,257.9,5.3,85.9,646.1,20.9,313.5,20.9,10,63.4,147,31.05,15.35,15.7,24.95,21.95
"63",63,22.45,23.45,20.45,1866.4,329.7,12.8,71.5,885.7,67,474.4,97.5,9,64.6,122.3,28.95,15.05,13.9,23.15,20.85
"64",64,24.05,25.05,23.45,2656.8,379.2,79.7,40.4,1011.5,301.8,301.8,704.9,8.2,71,65.8,31.2500000000001,19.7500000000001,11.5,23.7500000000001,25.05
"65",65,22.65,26.05,18.55,1549.1,183,64.7,28.8,514.5,223.8,471.9,288.4,9.2,52.7,304.9,31.55,14.05,17.5,24.85,18.65
"66",66,23.65,25.45,21.55,1303.5,160.9,67.4,25.8,393.8,230.7,372.2,256.9,7.1,61,150.7,29.2500000000001,17.55,11.7,25.15,21.7500000000001
"67",67,25.85,26.45,25.2500000000001,2249.6,336.4,24.2,60.4,972.3,113.9,335,181.6,7.3,70.1,46.1,31.65,21.2500000000001,10.4,25.7500000000001,25.45
"68",68,25.85,26.7500000000001,25.2500000000001,2281.2,386.4,81.2,53.2,1050.5,284.5,284.5,437,7.2,74.6,65.6,31.7500000000001,22.15,9.6,25.35,26.7500000000001
"69",69,25.05,26.15,24.45,1861.7,334.4,1.9,81.6,939.8,15.7,242.8,35.6,9.3,64.6,72.5,33.15,18.7500000000001,14.4,24.65,24.7500000000001
"70",70,24.95,25.7500000000001,23.55,2230.2,348.6,45.2,59.4,1010.4,148.9,746.4,206.4,6.7,68.6,91.6,29.65,19.95,9.7,25.65,23.65
"71",71,23.65,25.95,20.35,1475.5,227.2,35.5,48.8,602.4,139.4,601.6,192.9,9,59.3,231.1,30.45,15.35,15.1,25.85,20.55
"72",72,28.45,30.55,26.7500000000001,1376,331.8,4.3,101.6,855.5,18.7,28.7,786.2,9.5,69.7,154.2,36.35,22.7500000000001,13.6,26.7500000000001,29.95
"73",73,25.55,27.15,24.7500000000001,738.6,142.4,0.6,87.2,401,8.1,128.4,8.1,9.1,66.5,102.8,32.65,18.95,13.7,24.7500000000001,24.7500000000001
"74",74,25.7500000000001,27.15,24.35,989.1,203.6,1,91.4,549.8,7.8,263,7.8,9.6,65.9,107.7,32.85,18.35,14.5,26.05,24.35
"75",75,24.95,25.35,24.35,2551.1,324.1,85.6,36,882.3,309.5,739.9,407.6,6.9,74.6,44.6,29.55,20.2500000000001,9.3,25.2500000000001,24.35
"76",76,26.55,27.2500000000001,25.85,2616.2,517.9,21.1,77.4,1354.7,74.2,74.2,1354.7,4.8,71.6,54.3,30.35,23.65,6.7,25.85,27.2500000000001
"77",77,24.2500000000001,25.7500000000001,21.95,545.7,99.5,9,63.3,249.4,31,87.5,129,10.3,71.8,149.5,31.85,17.45,14.4,25.2500000000001,24.65
"78",78,23.7500000000001,24.85,21.95,1135.6,267.3,1.3,96.5,632.1,7.5,311.9,7.5,9.2,64.2,119.6,30.35,16.05,14.3,24.15,21.95
"79",79,25.7500000000001,27.15,25.05,1614.6,295.2,0.8,82.2,823.8,13.2,204.7,764.7,8.8,63.8,91.3,33.65,19.85,13.8,25.15,25.65
"80",80,25.35,26.15,24.7500000000001,2856.1,440.4,59.3,49.2,1136.2,246.9,246.9,873.7,7.5,70.8,55.9,32.05,21.45,10.6,25.15,26.15
"81",81,21.65,22.15,20.7500000000001,2533.4,404.5,78.7,52.8,1139.2,297.7,402.9,1082.5,8.9,81.1,59.5,27.65,16.65,11,20.85,22.05
"82",82,26.65,27.85,25.85,2366.3,414.5,38,69.5,1157.2,154.4,219.7,1157.2,6.7,68.6,81.9,32.45,22.7500000000001,9.7,25.85,27.7500000000001
"83",83,25.7500000000001,26.7500000000001,24.35,1135,194,18.3,61.3,495,71.9,288.6,430.6,6.2,70.7,93.6,30.05,21.35,8.7,25.65,26.15
"84",84,26.05,27.85,25.15,2034.6,333.3,36.9,60.2,926.5,122.4,122.4,687.8,8.4,65.2,115.1,34.15,21.35,12.8,25.2500000000001,27.85
"85",85,26.65,28.2500000000001,25.65,2021.1,314.5,41.9,59.6,909.7,132,132,847.4,7.4,65.3,111.5,33.65,22.2500000000001,11.4,25.65,28.2500000000001
"86",86,25.65,26.85,24.85,2448.8,407.4,80.9,53.1,1103.1,259.8,271.3,802.6,7.9,70.7,77.3,32.45,21.35,11.1,25.05,26.45
"87",87,25.55,25.95,24.95,2773.6,327,109.5,34.4,964.1,366.6,617.6,481.3,6.4,75.4,39.7,30.2500000000001,21.7500000000001,8.5,25.65,24.95
"88",88,27.35,28.45,26.65,2182.9,349.9,41.1,63.5,996.2,155.2,196.9,996.2,4.6,66.3,76.6,31.15,24.2500000000001,6.9,26.65,28.35
"89",89,27.45,28.55,26.65,2217.8,348.2,49.7,60.8,992.7,171.9,219.6,992.7,4.4,65.1,77.2,31.2500000000001,24.45,6.8,26.65,28.45
"90",90,26.7500000000001,27.95,25.85,2282.2,339.5,31.1,60.1,980.1,118.5,118.5,908,5.6,66,81.5,31.85,23.35,8.5,25.85,27.95
"91",91,24.55,25.2500000000001,23.2500000000001,2186.9,334.2,48.5,59.1,963.3,148.2,863.4,148.2,6.7,70.6,88.3,29.05,19.55,9.5,25.2500000000001,23.2500000000001
"92",92,24.65,26.05,22.55,1197.5,268.1,4.7,90.3,669.1,19.8,323.3,19.8,10.1,63,143.6,31.7500000000001,15.7500000000001,16,25.35,22.55
"93",93,26.35,26.95,25.95,2088.5,278.4,100.4,33,744.8,313.7,357,543.2,5.7,75,41.5,30.45,22.85,7.6,26.05,26.85
"94",94,26.65,27.35,26.2500000000001,2476.3,313.5,91,42.4,921.6,290.7,399.2,731.7,5.1,73.5,46.6,30.45,23.45,7,26.35,26.95
"95",95,26.65,28.05,25.45,1741.3,379.8,13.7,87.1,964.8,50.1,81.9,956.6,8.3,71.3,103.1,33.55,21.85,11.7,25.45,27.7500000000001
"96",96,26.85,27.95,25.95,1944.9,381.7,10.6,77,990.8,55.3,148.1,990.8,7.5,70,78.2,33.2500000000001,22.55,10.7,25.95,27.35
"97",97,25.65,26.7500000000001,24.65,1873.5,305.3,16,62.4,846,86.1,126.1,846,8.2,67.7,81.5,33.05,20.95,12.1,24.65,26.35
"98",98,26.2500000000001,26.85,25.7500000000001,2663,355,132.2,33.4,991.3,429.6,431.7,831.7,5.3,72.7,42.9,30.15,22.85,7.3,26.05,26.7500000000001
"99",99,27.05,28.35,26.15,1682.5,272.9,1.1,75,783.6,14.4,210,783.6,8.3,68.3,90.5,34.2500000000001,22.05,12.2,26.15,27.65
"100",100,26.15,27.05,25.65,2176,343,69.4,51.9,918.7,231.6,272.8,877.6,6.3,73.5,59.8,31.15,22.55,8.6,25.65,26.85
"101",101,26.05,26.45,25.2500000000001,2734.7,364.7,154.3,27.1,948.1,483.6,483.6,900.5,5.3,73,49.9,29.85,22.65,7.2,25.55,26.2500000000001
"102",102,26.35,26.85,25.95,2314.2,302.9,56.5,46.5,881.6,218.5,481.6,328.4,5.8,76.3,38.3,30.65,23.05,7.6,26.05,26.15
"103",103,26.85,27.95,26.15,1926.2,348.2,42.9,63.5,903.9,151.9,188.3,844.8,5.4,71.2,72.3,31.2500000000001,23.65,7.6,26.15,27.85
"104",104,26.7500000000001,28.05,26.05,2157.9,336.9,51,60.3,954.4,170.2,205.2,951.5,5.6,66.9,81,31.85,23.55,8.3,26.05,27.85
"105",105,20.15,20.45,19.65,2434.6,373.1,103,46.9,1037.8,339.8,421.8,899.2,7,85.1,34.8,24.55,16.35,8.2,19.7500000000001,20.15
"106",106,25.85,26.35,25.2500000000001,2498.6,321.3,77.3,40.6,907.5,282.7,537.6,401.1,6.9,76.2,42.5,30.85,21.85,9,25.95,25.35
"107",107,26.95,27.7500000000001,26.35,2190.1,302,78,45.7,852,242.3,336.1,846.7,5.5,75,56.3,30.95,23.65,7.3,26.45,27.35
"108",108,25.85,26.35,25.45,2639.9,344.1,67.5,44.8,1009.4,272.9,398.2,399.1,6.8,77.7,36.1,30.95,22.15,8.8,25.55,25.7500000000001
"109",109,17.7500000000001,18.35,17.05,1430.7,226.3,33.8,57,644.9,127.1,524.7,141.4,7,80,48.7,22.15,13.35,8.8,18.15,17.2500000000001
"110",110,26.2500000000001,26.95,25.85,2381.6,315.4,113.2,33.7,844.3,353.6,402.7,593.7,5.8,74.9,41.5,30.45,22.7500000000001,7.7,25.95,26.85
"111",111,26.45,27.05,26.05,2166.8,286.9,102.5,33.6,768.8,322.9,369.3,538.2,5.7,74.5,41.5,30.55,22.85,7.7,26.15,26.95
"112",112,26.45,27.05,26.05,2166.8,286.9,102.5,33.6,768.8,322.9,369.3,538.2,5.7,74.5,41.5,30.55,22.85,7.7,26.15,26.95
"113",113,26.45,26.95,25.7500000000001,2457.3,330.8,120.9,35,927.3,393,394.1,791.9,5.2,71.6,44.9,30.15,22.95,7.2,26.15,26.85
"114",114,26.2500000000001,26.85,25.7500000000001,2663,355,132.2,33.4,991.3,429.6,431.7,831.7,5.3,72.7,42.9,30.15,22.85,7.3,26.05,26.7500000000001
"115",115,26.2500000000001,26.85,25.7500000000001,2663,355,132.2,33.4,991.3,429.6,431.7,831.7,5.3,72.7,42.9,30.15,22.85,7.3,26.05,26.7500000000001
"116",116,26.35,26.85,25.7500000000001,2479.8,332.9,121,35.2,935.1,396.9,396.9,805.1,5.2,72.8,43.1,30.05,22.95,7.1,26.15,26.7500000000001
"117",117,26.2500000000001,26.7500000000001,25.45,2460,332.2,140.1,28.4,868.2,440.4,440.4,836.7,4.9,71,50,29.85,22.95,6.9,25.7500000000001,26.7500000000001
"118",118,26.15,26.65,25.35,2661.1,353.4,150,26.9,918.9,469.6,470.6,872.7,5.1,71.8,49.3,29.95,22.85,7.1,25.65,26.35
"119",119,26.15,26.65,25.35,2661.1,353.4,150,26.9,918.9,469.6,470.6,872.7,5.1,71.8,49.3,29.95,22.85,7.1,25.65,26.35
"120",120,26.15,26.65,25.35,2622,364.6,152,31.8,960,461.3,461.3,934.4,5.5,74.1,48.5,30.05,22.65,7.4,25.65,26.65
"121",121,26.15,26.65,25.35,2622,364.6,152,31.8,960,461.3,461.3,934.4,5.5,74.1,48.5,30.05,22.65,7.4,25.65,26.65
"122",122,26.35,26.85,25.7500000000001,2514.6,339.9,123.7,34.7,948.6,398.2,402.1,797.3,5.4,72.4,42.3,30.2500000000001,22.85,7.4,26.05,26.7500000000001
"123",123,26.45,27.05,25.95,2272.3,289.6,107.3,30.8,805.1,357.2,373.2,685.2,5.1,73.2,41.3,30.05,23.15,6.9,26.05,26.95
"124",124,26.15,26.85,25.7500000000001,2250,284.5,95.7,36.5,811.5,302.6,409.6,755.6,6.7,74.9,48.7,31.15,22.15,9,25.85,26.35
"125",125,25.95,26.95,25.45,2070.1,284.4,80.4,43.1,798.2,246.9,328.7,751.6,6.9,73.2,60.8,31.2500000000001,21.85,9.4,25.55,26.2500000000001
"126",126,25.65,25.95,24.95,3225.8,326.4,178.4,17.6,950.1,607.4,889.6,617.2,5.7,76.6,44.6,29.55,22.05,7.5,25.7500000000001,25.15
"127",127,26.65,28.05,25.55,1680,282.4,0.6,76.5,794,10.8,209.2,794,8.7,67.8,102.7,34.45,21.65,12.8,25.55,27.45
"128",128,24.05,25.15,23.55,2416.7,408.5,1.7,77.3,1123.6,12.9,291.4,1123.6,9.1,66.2,73.6,31.35,17.65,13.7,23.55,23.7500000000001
"129",129,25.05,25.85,24.35,1875.8,316.8,9.6,70.9,880.7,50.8,265.7,86.7,9.2,65.7,57.5,32.7500000000001,18.7500000000001,14,24.95,24.7500000000001
"130",130,24.45,25.85,23.7500000000001,1702.3,313.5,1,84,867.8,6.3,149.3,847.5,9.5,67.3,94.7,32.15,18.05,14.1,23.85,24.15
"131",131,26.65,27.7500000000001,25.7500000000001,1916.8,307.4,2.9,72.3,877.2,21.7,80.9,877.2,8.4,69.1,80.4,33.85,21.65,12.2,25.7500000000001,27.2500000000001
"132",132,25.2500000000001,26.35,24.55,2234.5,355.9,4.9,72.9,1049.9,27.5,122.7,1036.7,9.1,68.8,75.8,33.35,20.15,13.2,24.55,25.95
"133",133,26.45,27.65,25.45,1808.5,287.3,4,71.5,825.9,19.6,73.5,825.9,8.7,71.4,85.8,33.55,21.35,12.2,25.45,27.2500000000001
"134",134,25.35,26.35,24.05,1661.6,293.6,8.7,71.5,786.3,48.5,397.4,83,9.1,65.9,88.2,32.55,18.7500000000001,13.8,25.55,24.2500000000001
"135",135,27.15,28.65,26.35,1548.6,280.1,0.8,82.6,779.9,8,188.6,748.9,9,62.8,99,35.35,20.95,14.4,26.35,27.2500000000001
"136",136,26.2500000000001,27.05,25.45,2211.7,326.9,43.5,51.9,911.7,178.8,327.7,911.7,6.2,76.4,61.8,31.05,22.95,8.1,25.45,26.45
"137",137,23.65,25.95,20.35,1475.5,227.2,35.5,48.8,602.4,139.4,601.6,192.9,9,59.3,231.1,30.45,15.35,15.1,25.85,20.55
"138",138,23.35,24.55,20.95,1416.6,257.6,9.1,72.4,676.2,52.1,504.1,71.3,9.9,63.7,145.6,30.15,14.55,15.6,24.2500000000001,21.35
"139",139,28.45,30.55,26.7500000000001,1376,331.8,4.3,101.6,855.5,18.7,28.7,786.2,9.5,69.7,154.2,36.35,22.7500000000001,13.6,26.7500000000001,29.95
"140",140,26.15,27.35,24.95,1456.5,279.2,1.6,85.8,758.6,15.9,367.7,26.1,9.6,62.6,93.9,34.0500000000001,18.7500000000001,15.3,26.05,25.15
"141",141,26.45,28.45,24.95,948.2,236.8,4.1,96.4,558.8,24,129,40.7,9.1,65.7,134.7,33.65,19.85,13.8,25.95,25.65
"142",142,25.55,27.15,24.7500000000001,738.6,142.4,0.6,87.2,401,8.1,128.4,8.1,9.1,66.5,102.8,32.65,18.95,13.7,24.7500000000001,24.7500000000001
"143",143,24.2500000000001,25.7500000000001,21.95,545.7,99.5,9,63.3,249.4,31,87.5,129,10.3,71.8,149.5,31.85,17.45,14.4,25.2500000000001,24.65
"144",144,26.85,28.95,24.45,651.6,148.5,6.8,84.9,368.1,24.2,68.6,72.5,10.1,65.9,172.1,34.7500000000001,19.35,15.4,27.2500000000001,26.65
"145",145,25.45,27.55,23.45,629.6,162.6,2.9,95.3,362.4,14.2,112.5,21.6,9,62.8,152.4,32.55,18.15,14.4,25.55,24.2500000000001
"146",146,25.85,26.85,24.45,1694.3,281.4,34.7,60.4,761.6,121.3,373.4,464.4,4.6,63.5,93.8,29.2500000000001,22.05,7.2,25.05,26.15
"147",147,25.65,26.95,24.35,1458.9,295.1,2.2,88.5,798.2,22.1,315.7,31.7,9.7,61.3,100.7,33.35,17.45,15.9,25.55,24.65
"148",148,23.45,24.7500000000001,22.55,1466.7,274,1.2,84.8,757.5,8.9,365.7,36.6,9.6,65.6,91.9,30.95,16.35,14.6,23.45,22.65
"149",149,25.05,26.45,24.15,1898.1,313.5,49.7,60.6,894.8,164.2,164.2,540,8.3,67.6,94.5,32.45,20.2500000000001,12.2,24.2500000000001,26.45
"150",150,24.15,25.45,21.95,1202.4,257,5.3,85.8,643.1,20.9,312.5,20.9,10,63.9,147.1,31.05,15.45,15.6,25.05,21.95
"151",151,25.35,27.05,24.45,1518.4,265.6,0.6,83.4,751.9,6.5,134.4,740.8,9.1,67.5,103.8,33.15,19.65,13.5,24.55,25.45
"152",152,22.15,23.2500000000001,20.85,1723.9,336.7,3.7,82.1,885.2,19.1,509.8,38.8,8.4,63.9,97.2,28.65,15.45,13.2,22.35,20.85
"153",153,23.2500000000001,24.35,21.35,2172.4,353.6,12.4,71,1006.5,58.6,536.8,101.6,9.1,63.8,121.9,29.7500000000001,15.45,14.3,23.95,21.55
"154",154,20.85,22.05,18.7500000000001,1822.8,358.8,6.3,82.2,925.3,32.4,473.3,44.3,9.5,64.7,133.2,27.65,12.95,14.7,21.45,18.85
"155",155,24.05,25.35,21.85,1355.4,303.9,5.6,90,759.5,23.3,596.3,23.3,8.4,61.2,151,29.85,16.15,13.7,24.95,21.85
"156",156,26.55,27.95,25.95,1355,251.8,0.6,88.5,710,4.3,122.1,657.5,8.8,65.4,90.8,34.35,20.95,13.4,26.15,26.2500000000001
"157",157,25.7500000000001,27.15,24.35,989.1,203.6,1,91.4,549.8,7.8,263,7.8,9.6,65.9,107.7,32.85,18.35,14.5,26.05,24.35
